product_id,product_title,product_description,category,price_inr,description_length,clean_description,combined_text,top_trend_1,top_trend_2,top_trend_3,similarity_score_1,similarity_score_2,similarity_score_3,optimized_product_title
P000001,Smart Chair Waterproof,Experience premium quality with our top-rated product. Features state-of-the-art materials. Order now while supplies last!,Kitchen,8419.52,122,experience premium quality with our toprated product features stateoftheart materials order now while supplies last,smart chair waterproof experience premium quality with our toprated product features stateoftheart materials order now while supplies last,No Strong Match,smart streetwear review,smart streetwear review,0.35629355907440186,0.35629355907440186,0.35629355907440186,Smart Chair Waterproof
P000002,Durable Camera Bundle,Designed for everyday use. Built to last and withstand daily wear. Available in multiple colors.,Beauty,5821.62,96,designed for everyday use built to last and withstand daily wear available in multiple colors,durable camera bundle designed for everyday use built to last and withstand daily wear available in multiple colors,No Strong Match,sustainable streetwear essentials,sustainable streetwear essentials,0.42151033878326416,0.42151033878326416,0.42151033878326416,Durable Camera Bundle
P000003,Ergonomic Speaker 2026 Edition,A must-have for enthusiasts. Features state-of-the-art materials. Perfect for gifting.,Sports & Outdoors,50475.62,86,a musthave for enthusiasts features stateoftheart materials perfect for gifting,ergonomic speaker 2026 edition a musthave for enthusiasts features stateoftheart materials perfect for gifting,No Strong Match,retro gift ideas tour,retro gift ideas tour,0.4628811180591583,0.4628811180591583,0.4628811180591583,Ergonomic Speaker 2026 Edition
P000004,Vintage Monitor with RGB,Upgrade your lifestyle with this. Built to last and withstand daily wear. Perfect for gifting.,Kitchen,80215.35,94,upgrade your lifestyle with this built to last and withstand daily wear perfect for gifting,vintage monitor with rgb upgrade your lifestyle with this built to last and withstand daily wear perfect for gifting,No Strong Match,retro streetwear review,retro streetwear review,0.36806994676589966,0.36806994676589966,0.36806994676589966,Vintage Monitor with RGB
P000005,Pro Headphones Bundle,Experience premium quality with our top-rated product. Comes with an extended warranty. Don't miss out on this deal.,Home Decor,42137.44,116,experience premium quality with our toprated product comes with an extended warranty dont miss out on this deal,pro headphones bundle experience premium quality with our toprated product comes with an extended warranty dont miss out on this deal,No Strong Match,smart streetwear review,smart streetwear review,0.27917584776878357,0.27917584776878357,0.27917584776878357,Pro Headphones Bundle
P000006,Minimalist Sunglasses Modern,Experience premium quality with our top-rated product. Features state-of-the-art materials. Satisfaction guaranteed.,Travel,5062.17,116,experience premium quality with our toprated product features stateoftheart materials satisfaction guaranteed,minimalist sunglasses modern experience premium quality with our toprated product features stateoftheart materials satisfaction guaranteed,minimalist streetwear essentials,minimalist streetwear essentials,minimalist streetwear essentials,0.5049517154693604,0.5049517154693604,0.5049517154693604,minimalist streetwear essentials Inspired Minimalist Sunglasses Modern
P000007,Pro Wallet Bundle,Upgrade your lifestyle with this. Comes with an extended warranty. Don't miss out on this deal.,Sports & Outdoors,19007.0,95,upgrade your lifestyle with this comes with an extended warranty dont miss out on this deal,pro wallet bundle upgrade your lifestyle with this comes with an extended warranty dont miss out on this deal,No Strong Match,luxury tech gadgets check,luxury tech gadgets check,0.3230549693107605,0.3230549693107605,0.3230549693107605,Pro Wallet Bundle
P000008,Modern Camera V2,The perfect addition to your collection. Highly rated by our community. Order now while supplies last!,Sports & Outdoors,20943.39,102,the perfect addition to your collection highly rated by our community order now while supplies last,modern camera v2 the perfect addition to your collection highly rated by our community order now while supplies last,No Strong Match,budget tech gadgets review,budget tech gadgets review,0.41160672903060913,0.41160672903060913,0.41160672903060913,Modern Camera V2
P000009,Durable Chair Edition,Designed for everyday use. Built to last and withstand daily wear. Order now while supplies last!,Kitchen,28591.01,97,designed for everyday use built to last and withstand daily wear order now while supplies last,durable chair edition designed for everyday use built to last and withstand daily wear order now while supplies last,No Strong Match,sustainable desk setup finds,sustainable desk setup finds,0.361295223236084,0.361295223236084,0.361295223236084,Durable Chair Edition
P000010,Modern Lamp Set,A must-have for enthusiasts. Built to last and withstand daily wear. Satisfaction guaranteed.,Fashion,4412.28,93,a musthave for enthusiasts built to last and withstand daily wear satisfaction guaranteed,modern lamp set a musthave for enthusiasts built to last and withstand daily wear satisfaction guaranteed,No Strong Match,luxury room decor essentials,luxury room decor essentials,0.42108654975891113,0.42108654975891113,0.42108654975891113,Modern Lamp Set
P000011,Ergonomic Watch Kit,Experience premium quality with our top-rated product. Lightweight and easy to carry. Don't miss out on this deal.,Home Decor,75183.89,114,experience premium quality with our toprated product lightweight and easy to carry dont miss out on this deal,ergonomic watch kit experience premium quality with our toprated product lightweight and easy to carry dont miss out on this deal,budget gym gear essentials,budget gym gear essentials,budget gym gear essentials,0.5031187534332275,0.5031187534332275,0.5031187534332275,budget gym gear essentials Inspired Ergonomic Watch Kit
P000012,Smart Headphones Pro Max,Upgrade your lifestyle with this. Highly rated by our community. Perfect for gifting.,Kitchen,43193.2,85,upgrade your lifestyle with this highly rated by our community perfect for gifting,smart headphones pro max upgrade your lifestyle with this highly rated by our community perfect for gifting,No Strong Match,smart gift ideas check,smart gift ideas check,0.4719424843788147,0.4719424843788147,0.4719424843788147,Smart Headphones Pro Max
P000013,Smart Keyboard Kit,A must-have for enthusiasts. Lightweight and easy to carry. Order now while supplies last!,Home Decor,55959.43,90,a musthave for enthusiasts lightweight and easy to carry order now while supplies last,smart keyboard kit a musthave for enthusiasts lightweight and easy to carry order now while supplies last,budget tech gadgets essentials,budget tech gadgets essentials,budget tech gadgets essentials,0.5337522625923157,0.5337522625923157,0.5337522625923157,budget tech gadgets essentials Inspired Smart Keyboard Kit
P000014,Durable Desk Waterproof,The perfect addition to your collection. Features state-of-the-art materials. Available in multiple colors.,Home Decor,6348.67,107,the perfect addition to your collection features stateoftheart materials available in multiple colors,durable desk waterproof the perfect addition to your collection features stateoftheart materials available in multiple colors,No Strong Match,sustainable desk setup finds,sustainable desk setup finds,0.48810213804244995,0.48810213804244995,0.48810213804244995,Durable Desk Waterproof
P000015,Sleek Wallet for Travel,The perfect addition to your collection. Features state-of-the-art materials. Order now while supplies last!,Travel,5275.48,108,the perfect addition to your collection features stateoftheart materials order now while supplies last,sleek wallet for travel the perfect addition to your collection features stateoftheart materials order now while supplies last,No Strong Match,budget tech gadgets tour,budget tech gadgets tour,0.4823892116546631,0.4823892116546631,0.4823892116546631,Sleek Wallet for Travel
P000016,Classic Headphones Classic,The perfect addition to your collection. Lightweight and easy to carry. Available in multiple colors.,Sports & Outdoors,49018.97,101,the perfect addition to your collection lightweight and easy to carry available in multiple colors,classic headphones classic the perfect addition to your collection lightweight and easy to carry available in multiple colors,No Strong Match,retro streetwear essentials,retro streetwear essentials,0.4663018584251404,0.4663018584251404,0.4663018584251404,Classic Headphones Classic
P000017,Wireless Keyboard Modern,Upgrade your lifestyle with this. Built to last and withstand daily wear. Available in multiple colors.,Beauty,73738.03,103,upgrade your lifestyle with this built to last and withstand daily wear available in multiple colors,wireless keyboard modern upgrade your lifestyle with this built to last and withstand daily wear available in multiple colors,No Strong Match,trending tech gadgets essentials,trending tech gadgets essentials,0.453885555267334,0.453885555267334,0.453885555267334,Wireless Keyboard Modern
P000018,Luxury Headphones with RGB,The perfect addition to your collection. Highly rated by our community. Perfect for gifting.,Travel,44254.77,92,the perfect addition to your collection highly rated by our community perfect for gifting,luxury headphones with rgb the perfect addition to your collection highly rated by our community perfect for gifting,No Strong Match,luxury gift ideas check,luxury gift ideas check,0.4712079167366028,0.4712079167366028,0.4712079167366028,Luxury Headphones with RGB
P000019,Minimalist Water Bottle for Travel,Designed for everyday use. Comes with an extended warranty. Satisfaction guaranteed.,Travel,72959.49,84,designed for everyday use comes with an extended warranty satisfaction guaranteed,minimalist water bottle for travel designed for everyday use comes with an extended warranty satisfaction guaranteed,No Strong Match,luxury travel hacks essentials,luxury travel hacks essentials,0.3614000678062439,0.3614000678062439,0.3614000678062439,Minimalist Water Bottle for Travel
P000020,Minimalist Speaker Pro Max,A must-have for enthusiasts. Features state-of-the-art materials. Don't miss out on this deal.,Home Decor,67468.21,94,a musthave for enthusiasts features stateoftheart materials dont miss out on this deal,minimalist speaker pro max a musthave for enthusiasts features stateoftheart materials dont miss out on this deal,No Strong Match,minimalist tech gadgets tour,minimalist tech gadgets tour,0.44736480712890625,0.44736480712890625,0.44736480712890625,Minimalist Speaker Pro Max
P000021,Durable Blender 2026 Edition,Upgrade your lifestyle with this. Lightweight and easy to carry. Order now while supplies last!,Office Supplies,7062.47,95,upgrade your lifestyle with this lightweight and easy to carry order now while supplies last,durable blender 2026 edition upgrade your lifestyle with this lightweight and easy to carry order now while supplies last,No Strong Match,sustainable office essentials tour,sustainable office essentials tour,0.46295228600502014,0.46295228600502014,0.46295228600502014,Durable Blender 2026 Edition
P000022,Heavy-Duty Sneakers Kit,Upgrade your lifestyle with this. Comes with an extended warranty. Satisfaction guaranteed.,Sports & Outdoors,17424.19,91,upgrade your lifestyle with this comes with an extended warranty satisfaction guaranteed,heavyduty sneakers kit upgrade your lifestyle with this comes with an extended warranty satisfaction guaranteed,No Strong Match,luxury gym gear check,luxury gym gear check,0.43859773874282837,0.43859773874282837,0.43859773874282837,Heavy-Duty Sneakers Kit
P000023,Heavy-Duty Watch 2026 Edition,Upgrade your lifestyle with this. Comes with an extended warranty. Satisfaction guaranteed.,Fashion,54872.96,91,upgrade your lifestyle with this comes with an extended warranty satisfaction guaranteed,heavyduty watch 2026 edition upgrade your lifestyle with this comes with an extended warranty satisfaction guaranteed,No Strong Match,luxury tech gadgets check,luxury tech gadgets check,0.37475597858428955,0.37475597858428955,0.37475597858428955,Heavy-Duty Watch 2026 Edition
P000024,Durable Headphones Modern,Experience premium quality with our top-rated product. Highly rated by our community. Don't miss out on this deal.,Travel,37271.98,114,experience premium quality with our toprated product highly rated by our community dont miss out on this deal,durable headphones modern experience premium quality with our toprated product highly rated by our community dont miss out on this deal,No Strong Match,top rated streetwear review,top rated streetwear review,0.39681392908096313,0.39681392908096313,0.39681392908096313,Durable Headphones Modern
P000025,Portable Wallet Waterproof,A must-have for enthusiasts. Comes with an extended warranty. Satisfaction guaranteed.,Beauty,24715.74,86,a musthave for enthusiasts comes with an extended warranty satisfaction guaranteed,portable wallet waterproof a musthave for enthusiasts comes with an extended warranty satisfaction guaranteed,No Strong Match,luxury tech gadgets essentials,luxury tech gadgets essentials,0.3538880944252014,0.3538880944252014,0.3538880944252014,Portable Wallet Waterproof
P000026,Minimalist Sneakers V2,A must-have for enthusiasts. Features state-of-the-art materials. Available in multiple colors.,Office Supplies,35228.52,95,a musthave for enthusiasts features stateoftheart materials available in multiple colors,minimalist sneakers v2 a musthave for enthusiasts features stateoftheart materials available in multiple colors,minimalist streetwear essentials,minimalist streetwear essentials,minimalist streetwear essentials,0.57218337059021,0.57218337059021,0.57218337059021,minimalist streetwear essentials Inspired Minimalist Sneakers V2
P000027,Classic Backpack 2026 Edition,Experience premium quality with our top-rated product. Lightweight and easy to carry. Available in multiple colors.,Office Supplies,37411.42,115,experience premium quality with our toprated product lightweight and easy to carry available in multiple colors,classic backpack 2026 edition experience premium quality with our toprated product lightweight and easy to carry available in multiple colors,budget camping gear review,budget camping gear review,budget camping gear review,0.518203616142273,0.518203616142273,0.518203616142273,budget camping gear review Inspired Classic Backpack 2026 Edition
P000028,Minimalist Lamp with RGB,Experience premium quality with our top-rated product. Comes with an extended warranty. Order now while supplies last!,Fashion,75649.52,118,experience premium quality with our toprated product comes with an extended warranty order now while supplies last,minimalist lamp with rgb experience premium quality with our toprated product comes with an extended warranty order now while supplies last,No Strong Match,luxury tech gadgets essentials,luxury tech gadgets essentials,0.28663045167922974,0.28663045167922974,0.28663045167922974,Minimalist Lamp with RGB
P000029,Minimalist Desk Kit,Upgrade your lifestyle with this. Highly rated by our community. Available in multiple colors.,Travel,9330.03,94,upgrade your lifestyle with this highly rated by our community available in multiple colors,minimalist desk kit upgrade your lifestyle with this highly rated by our community available in multiple colors,minimalist desk setup finds,minimalist desk setup finds,minimalist desk setup finds,0.6030213832855225,0.6030213832855225,0.6030213832855225,minimalist desk setup finds Inspired Minimalist Desk Kit
P000030,Classic Backpack for Travel,Experience premium quality with our top-rated product. Highly rated by our community. Order now while supplies last!,Beauty,23814.36,116,experience premium quality with our toprated product highly rated by our community order now while supplies last,classic backpack for travel experience premium quality with our toprated product highly rated by our community order now while supplies last,luxury camping gear review,luxury camping gear review,luxury camping gear review,0.593464195728302,0.593464195728302,0.5934641361236572,luxury camping gear review Inspired Classic Backpack for Travel
P000031,Luxury Lamp Bundle,A must-have for enthusiasts. Comes with an extended warranty. Perfect for gifting.,Sports & Outdoors,45000.94,82,a musthave for enthusiasts comes with an extended warranty perfect for gifting,luxury lamp bundle a musthave for enthusiasts comes with an extended warranty perfect for gifting,No Strong Match,luxury gift ideas essentials,luxury gift ideas essentials,0.4472706615924835,0.4472706615924835,0.4472706615924835,Luxury Lamp Bundle
P000032,Premium Mouse 2026 Edition,A must-have for enthusiasts. Built to last and withstand daily wear. Available in multiple colors.,Electronics,58207.07,98,a musthave for enthusiasts built to last and withstand daily wear available in multiple colors,premium mouse 2026 edition a musthave for enthusiasts built to last and withstand daily wear available in multiple colors,No Strong Match,goth tech gadgets essentials,goth tech gadgets essentials,0.45640674233436584,0.45640674233436584,0.45640674233436584,Premium Mouse 2026 Edition
P000033,Sleek Jacket Set,The perfect addition to your collection. Comes with an extended warranty. Order now while supplies last!,Beauty,52648.56,104,the perfect addition to your collection comes with an extended warranty order now while supplies last,sleek jacket set the perfect addition to your collection comes with an extended warranty order now while supplies last,No Strong Match,budget streetwear essentials,budget streetwear essentials,0.44101113080978394,0.44101113080978394,0.44101113080978394,Sleek Jacket Set
P000034,Ergonomic Camera Waterproof,A must-have for enthusiasts. Comes with an extended warranty. Satisfaction guaranteed.,Fashion,78204.26,86,a musthave for enthusiasts comes with an extended warranty satisfaction guaranteed,ergonomic camera waterproof a musthave for enthusiasts comes with an extended warranty satisfaction guaranteed,No Strong Match,luxury tech gadgets essentials,luxury tech gadgets essentials,0.30862540006637573,0.30862540006637573,0.30862540006637573,Ergonomic Camera Waterproof
P000035,Durable Monitor Modern,A must-have for enthusiasts. Comes with an extended warranty. Don't miss out on this deal.,Office Supplies,66204.12,90,a musthave for enthusiasts comes with an extended warranty dont miss out on this deal,durable monitor modern a musthave for enthusiasts comes with an extended warranty dont miss out on this deal,No Strong Match,trending tech gadgets essentials,trending tech gadgets essentials,0.34491515159606934,0.34491515159606934,0.34491515159606934,Durable Monitor Modern
P000036,Classic Keyboard Bundle,The perfect addition to your collection. Highly rated by our community. Order now while supplies last!,Sports & Outdoors,46604.5,102,the perfect addition to your collection highly rated by our community order now while supplies last,classic keyboard bundle the perfect addition to your collection highly rated by our community order now while supplies last,No Strong Match,top rated gift ideas guide,top rated gift ideas guide,0.4709291160106659,0.4709291160106659,0.4709291160106659,Classic Keyboard Bundle
P000037,Ergonomic Sunglasses V2,Upgrade your lifestyle with this. Highly rated by our community. Order now while supplies last!,Beauty,18469.99,95,upgrade your lifestyle with this highly rated by our community order now while supplies last,ergonomic sunglasses v2 upgrade your lifestyle with this highly rated by our community order now while supplies last,No Strong Match,trending camping gear essentials,trending camping gear essentials,0.44239333271980286,0.44239333271980286,0.44239333271980286,Ergonomic Sunglasses V2
P000038,Vintage Desk for Travel,The perfect addition to your collection. Features state-of-the-art materials. Perfect for gifting.,Electronics,37877.88,98,the perfect addition to your collection features stateoftheart materials perfect for gifting,vintage desk for travel the perfect addition to your collection features stateoftheart materials perfect for gifting,retro gift ideas tour,retro gift ideas tour,retro gift ideas tour,0.5480848550796509,0.5480848550796509,0.5480848550796509,retro gift ideas tour Inspired Vintage Desk for Travel
