trend_id,trend_keyword,platform_source,search_volume_score,trend_category
T000001,luxury gaming setup guide,Instagram,389961,Electronics
T000002,sustainable gift ideas review,Pinterest,202671,Kitchen
T000003,smart skincare routine unboxing,TikTok,423478,Beauty
T000004,Y2K desk setup review,TikTok,365216,Kitchen
T000005,top rated desk setup review,Pinterest,464632,Home Decor
T000006,goth skincare routine guide,TikTok,209709,Electronics
T000007,viral gaming setup unboxing,TikTok,42749,Sports & Outdoors
T000008,smart office essentials unboxing,Instagram,457982,Travel
T000009,Y2K streetwear essentials,Pinterest,159437,Kitchen
T000010,sustainable gift ideas tour,TikTok,406549,Office Supplies
T000011,cozy camping gear tour,Instagram,221720,Beauty
T000012,goth camping gear essentials,TikTok,296109,Home Decor
T000013,goth tech gadgets guide,Instagram,448379,Travel
T000014,top rated skincare routine guide,Instagram,126408,Sports & Outdoors
T000015,must-have camping gear review,Instagram,6529,Office Supplies
T000016,sustainable tech gadgets tour,TikTok,362918,Fashion
T000017,sustainable camping gear finds,TikTok,87245,Sports & Outdoors
T000018,trending gym gear check,YouTube,418917,Travel
T000019,aesthetic tech gadgets hacks,Instagram,156410,Home Decor
T000020,Y2K office essentials review,Pinterest,307947,Sports & Outdoors
T000021,cozy kitchen hacks check,TikTok,167983,Home Decor
T000022,budget camping gear finds,Instagram,231199,Travel
T000023,cozy camping gear finds,TikTok,149187,Beauty
T000024,top rated gym gear finds,Pinterest,475402,Home Decor
T000025,aesthetic camping gear finds,TikTok,222019,Beauty
T000026,Y2K office essentials review,YouTube,53138,Kitchen
T000027,minimalist streetwear finds,Instagram,364475,Home Decor
T000028,top rated travel hacks essentials,Pinterest,387418,Sports & Outdoors
T000029,viral kitchen hacks tour,TikTok,35295,Kitchen
T000030,aesthetic travel hacks review,Pinterest,247066,Office Supplies
T000031,sustainable gaming setup hacks,YouTube,42113,Electronics
T000032,viral travel hacks review,TikTok,58135,Kitchen
T000033,trending gym gear guide,TikTok,188551,Office Supplies
T000034,budget camping gear unboxing,Instagram,357722,Home Decor
T000035,viral gaming setup finds,TikTok,161605,Sports & Outdoors
T000036,aesthetic gaming setup review,TikTok,103549,Fashion
T000037,trending skincare routine tour,Instagram,153114,Beauty
T000038,trending office essentials unboxing,TikTok,160860,Fashion
T000039,goth gym gear check,Pinterest,16775,Kitchen
T000040,retro tech gadgets guide,Instagram,437947,Kitchen
T000041,luxury desk setup essentials,TikTok,387573,Kitchen
T000042,trending gift ideas check,Instagram,259507,Sports & Outdoors
T000043,Y2K room decor unboxing,Pinterest,148456,Travel
T000044,retro tech gadgets check,Pinterest,378706,Beauty
T000045,sustainable desk setup hacks,TikTok,465042,Sports & Outdoors
T000046,cozy streetwear tour,TikTok,205822,Home Decor
T000047,top rated camping gear unboxing,Pinterest,49923,Kitchen
T000048,goth skincare routine essentials,Instagram,356504,Beauty
T000049,cozy camping gear essentials,TikTok,220017,Fashion
T000050,top rated gym gear hacks,Instagram,130146,Office Supplies
T000051,luxury tech gadgets check,Pinterest,182692,Fashion
T000052,budget tech gadgets unboxing,Instagram,380555,Fashion
T000053,smart skincare routine guide,TikTok,472896,Home Decor
T000054,goth desk setup finds,TikTok,396551,Electronics
T000055,goth gaming setup review,YouTube,44926,Fashion
T000056,Y2K streetwear check,Pinterest,362170,Sports & Outdoors
T000057,sustainable desk setup tour,Instagram,38110,Sports & Outdoors
T000058,smart kitchen hacks tour,TikTok,365973,Electronics
T000059,top rated gaming setup essentials,TikTok,155768,Beauty
T000060,budget gift ideas review,Instagram,438940,Office Supplies
T000061,goth desk setup guide,TikTok,289112,Fashion
T000062,trending kitchen hacks check,Pinterest,182043,Office Supplies
T000063,minimalist streetwear hacks,TikTok,119193,Travel
T000064,aesthetic travel hacks tour,Instagram,71441,Beauty
T000065,luxury kitchen hacks essentials,YouTube,331865,Travel
T000066,top rated kitchen hacks unboxing,YouTube,260765,Fashion
T000067,minimalist streetwear check,Instagram,192549,Kitchen
T000068,must-have travel hacks hacks,Instagram,336895,Beauty
T000069,must-have office essentials check,TikTok,489504,Fashion
T000070,cozy kitchen hacks review,Instagram,312685,Electronics
T000071,aesthetic kitchen hacks hacks,TikTok,397370,Home Decor
T000072,goth skincare routine essentials,Instagram,52826,Fashion
T000073,goth tech gadgets guide,Instagram,361018,Office Supplies
T000074,cozy desk setup unboxing,Instagram,188884,Travel
T000075,top rated skincare routine essentials,TikTok,265818,Office Supplies
T000076,smart tech gadgets guide,Instagram,78899,Sports & Outdoors
T000077,smart streetwear essentials,YouTube,402567,Fashion
T000078,retro travel hacks essentials,Pinterest,255616,Travel
T000079,trending gaming setup tour,Instagram,418855,Sports & Outdoors
T000080,budget office essentials finds,TikTok,198343,Travel
T000081,viral gym gear guide,Instagram,468459,Fashion
T000082,cozy camping gear hacks,TikTok,426126,Office Supplies
T000083,must-have streetwear guide,Instagram,111721,Electronics
T000084,Y2K desk setup essentials,TikTok,149886,Fashion
T000085,top rated streetwear finds,Instagram,147118,Office Supplies
T000086,trending camping gear unboxing,Instagram,356411,Home Decor
T000087,minimalist gym gear essentials,TikTok,176651,Kitchen
T000088,viral camping gear essentials,Instagram,452259,Beauty
T000089,top rated kitchen hacks review,Instagram,332188,Travel
T000090,trending skincare routine unboxing,Instagram,148472,Office Supplies
T000091,top rated tech gadgets unboxing,Instagram,496430,Sports & Outdoors
T000092,aesthetic camping gear tour,TikTok,189666,Beauty
T000093,budget kitchen hacks review,Instagram,392667,Sports & Outdoors
T000094,cozy streetwear hacks,TikTok,54863,Kitchen
T000095,sustainable tech gadgets finds,Pinterest,407358,Home Decor
T000096,viral office essentials finds,TikTok,379317,Travel
T000097,luxury camping gear tour,TikTok,417073,Kitchen
T000098,trending gift ideas tour,TikTok,127957,Travel
T000099,minimalist room decor finds,TikTok,342440,Electronics
T000100,budget office essentials tour,Pinterest,160480,Electronics
T000101,budget office essentials tour,Instagram,235811,Sports & Outdoors
T000102,goth kitchen hacks unboxing,Pinterest,19285,Office Supplies
T000103,aesthetic skincare routine guide,Instagram,266680,Travel
T000104,retro gaming setup hacks,Instagram,197903,Fashion
T000105,minimalist kitchen hacks essentials,TikTok,276661,Office Supplies
T000106,cozy office essentials guide,Instagram,316696,Home Decor
T000107,budget gaming setup tour,TikTok,247583,Home Decor
T000108,cozy tech gadgets tour,TikTok,209208,Home Decor
T000109,viral room decor review,TikTok,430833,Beauty
T000110,budget camping gear check,Instagram,254305,Beauty
T000111,must-have camping gear check,Instagram,30905,Home Decor
T000112,sustainable gaming setup tour,Instagram,29834,Travel
T000113,aesthetic tech gadgets unboxing,Pinterest,338289,Home Decor
T000114,luxury gaming setup check,YouTube,268050,Travel
T000115,trending skincare routine check,Pinterest,480251,Beauty
T000116,viral room decor check,YouTube,337591,Sports & Outdoors
T000117,budget travel hacks hacks,TikTok,448888,Office Supplies
T000118,trending travel hacks guide,YouTube,106463,Beauty
T000119,budget gift ideas finds,TikTok,190990,Kitchen
T000120,Y2K room decor check,TikTok,3097,Office Supplies
T000121,cozy gym gear check,TikTok,104515,Fashion
T000122,top rated camping gear finds,TikTok,430896,Home Decor
T000123,viral office essentials review,TikTok,197051,Travel
T000124,goth kitchen hacks check,TikTok,260781,Sports & Outdoors
T000125,top rated tech gadgets guide,TikTok,109492,Sports & Outdoors
T000126,minimalist room decor guide,TikTok,474288,Beauty
T000127,aesthetic travel hacks guide,Instagram,234647,Sports & Outdoors
T000128,trending room decor check,TikTok,5512,Electronics
T000129,trending camping gear tour,TikTok,298762,Travel
T000130,aesthetic gaming setup review,TikTok,498301,Beauty
T000131,cozy gift ideas tour,Instagram,139134,Beauty
T000132,smart skincare routine check,TikTok,204821,Beauty
T000133,retro skincare routine guide,Instagram,206912,Fashion
T000134,smart desk setup finds,Instagram,234699,Electronics
T000135,cozy kitchen hacks review,TikTok,313182,Sports & Outdoors
T000136,trending gym gear finds,TikTok,146158,Home Decor
T000137,budget tech gadgets hacks,Instagram,269302,Electronics
T000138,Y2K gym gear hacks,Instagram,259396,Office Supplies
T000139,top rated office essentials tour,TikTok,219055,Travel
T000140,luxury room decor review,TikTok,77964,Beauty
T000141,top rated desk setup tour,Instagram,191921,Travel
T000142,top rated gym gear review,Instagram,257585,Home Decor
T000143,trending desk setup hacks,Instagram,68899,Beauty
